F:\Uni\Simulations\SwarmSimulation
42,0,0,0,0,0[-0.000941568659733177 -0.000334855998872931;-0.000940629375379858 -0.000332392476393404;-0.000940801283367846 -0.000353555671688421],[7.12366112402408e-06 0;7.12366112402408e-06 0;7.12366112402408e-06 0]
407,0,0,0,0,0[-0.000940143927508373 -0.000334855998872931;-0.000939204643155053 -0.000332392476393404;-0.000939376551143041 -0.000353555671688421],[1.42473222480482e-05 0;1.42473222480482e-05 0;1.42473222480482e-05 0]
441,0,0,0,0,0[-0.000939246187072226 -0.000334855998872931;-0.000938306902718906 -0.000332392476393404;-0.000938478810706894 -0.000353555671688421],[2.13709833720722e-05 0;2.13709833720722e-05 0;2.13709833720722e-05 0]
685,0,0,0,0,0[-0.000936396722622616 -0.000334855998872931;-0.000935457438269297 -0.000332392476393404;-0.000935629346257285 -0.000353555671688421],[2.84946444960963e-05 0;2.84946444960963e-05 0;2.84946444960963e-05 0]
830,0,0,0,0,0[-0.000932834892060604 -0.000334855998872931;-0.000931895607707285 -0.000332392476393404;-0.000932067515695273 -0.000353555671688421],[3.56183056201204e-05 0;3.56183056201204e-05 0;3.56183056201204e-05 0]
850,0,0,0,0,0[-0.000931723559185054 -0.000334855998872931;-0.000930784274831735 -0.000332392476393404;-0.000930956182819723 -0.000353555671688421],[4.27419667441445e-05 0;4.27419667441445e-05 0;4.27419667441445e-05 0]
865,0,0,0,0,0[-0.000930975224758047 -0.000334855998872931;-0.000930035940404728 -0.000332392476393404;-0.000930207848392716 -0.000353555671688421],[4.98656278681686e-05 0;4.98656278681686e-05 0;4.98656278681686e-05 0]
925,0,0,0,0,0[-0.000927556006552522 -0.000334855998872931;-0.000926616722199203 -0.000332392476393404;-0.000926788630187191 -0.000353555671688421],[5.69892889921927e-05 0;5.69892889921927e-05 0;5.69892889921927e-05 0]
966,0,0,0,0,0[-0.000924927841261885 -0.000334855998872931;-0.000923988556908565 -0.000332392476393404;-0.000924160464896553 -0.000353555671688421],[6.41129501162167e-05 0;6.41129501162167e-05 0;6.41129501162167e-05 0]
1014,0,0,0,0,0[-0.00092150818826259 -0.000334855998872931;-0.00092056890390927 -0.000332392476393404;-0.000920740811897258 -0.000353555671688421],[7.12366112402408e-05 0;7.12366112402408e-05 0;7.12366112402408e-05 0]
1074,0,0,0,0,0[-0.000916806763229992 -0.000334855998872931;-0.000915867478876673 -0.000332392476393404;-0.000916039386864661 -0.000353555671688421],[7.83602723642649e-05 0;7.83602723642649e-05 0;7.83602723642649e-05 0]
1117,0,0,0,0,0[-0.000913131016700299 -0.000334855998872931;-0.000912191732346979 -0.000332392476393404;-0.000912363640334967 -0.000353555671688421],[8.5483933488289e-05 0;8.5483933488289e-05 0;8.5483933488289e-05 0]
1164,0,0,0,0,0[-0.000908778731064832 -0.000334855998872931;-0.000907839446711513 -0.000332392476393404;-0.000908011354699501 -0.000353555671688421],[9.2607594612313e-05 0;9.2607594612313e-05 0;9.2607594612313e-05 0]
1216,0,0,0,0,0[-0.000903691426561558 -0.000334855998872931;-0.000902752142208239 -0.000332392476393404;-0.000902924050196227 -0.000353555671688421],[9.97312557363371e-05 0;9.97312557363371e-05 0;9.97312557363371e-05 0]
1264,0,0,0,0,0[-0.000898456781319551 -0.000334855998872931;-0.000897517496966232 -0.000332392476393404;-0.00089768940495422 -0.000353555671688421],[0.000106854916860361 0;0.000106854916860361 0;0.000106854916860361 0]
1314,0,0,0,0,0[-0.000892757504585316 -0.000334855998872931;-0.000891818220231996 -0.000332392476393404;-0.000891990128219984 -0.000353555671688421],[0.000113978577984385 0;0.000113978577984385 0;0.000113978577984385 0]
1370,0,0,0,0,0[-0.000885974884824461 -0.000334855998872931;-0.000885035600471141 -0.000332392476393404;-0.000885207508459129 -0.000353555671688421],[0.000121102239108409 0;0.000121102239108409 0;0.000121102239108409 0]
1414,0,0,0,0,0[-0.00088033408785226 -0.000334855998872931;-0.000879394803498941 -0.000332392476393404;-0.000879566711486929 -0.000353555671688421],[0.000128225900232433 0;0.000128225900232433 0;0.000128225900232433 0]
1477,0,0,0,0,0[-0.000871806586344069 -0.000334855998872931;-0.00087086730199075 -0.000332392476393404;-0.000871039209978738 -0.000353555671688421],[0.000135349561356458 0;0.000135349561356458 0;0.000135349561356458 0]
