F:\Uni\Simulations\SwarmSimulation
14,0,0,0,0,0[-0.00908529300109854 -0.00260194751252282;-0.00904486967883873 -0.0025432983317234;-0.00905967177346655 -0.00299861983484044],[1.39066086722662e-05 0;1.31072888019104e-05 0;1.33908857926617e-05 0]
63,0,0,0,0,0[-0.00908195780247269 -0.00260194751252282;-0.00904172612086537 -0.0025432983317234;-0.00905646022070326 -0.00299861983484044],[6.94883411678788e-05 0;6.54955381790269e-05 0;6.69121989811187e-05 0]
109,0,0,0,0,0[-0.00907707372747138 -0.00260194751252282;-0.0090371214578763 -0.0025432983317234;-0.00905175639865227 -0.00299861983484044],[0.000103922967300548 0;9.7977660276389e-05 0;0.000100087559069298 0]
160,0,0,0,0,0[-0.00907056644566405 -0.00260194751252282;-0.00903098376186597 -0.0025432983317234;-0.00904548749297209 -0.00299861983484044],[0.000127587500531136 0;0.00012034107576168 0;0.000122913688154518 0]
215,0,0,0,0,0[-0.00906303664471286 -0.00260194751252282;-0.00902387727532743 -0.0025432983317234;-0.00903823064319164 -0.00299861983484044],[0.000142088406316364 0;0.000134100403625059 0;0.000136937779214335 0]
255,0,0,0,0,0[-0.00905649194776779 -0.00260194751252282;-0.00901769666226152 -0.0025432983317234;-0.00903192063670909 -0.00299861983484044],[0.0001487216570708 0;0.000140448217020432 0;0.000143388552302455 0]
318,0,0,0,0,0[-0.00904676938174342 -0.00260194751252282;-0.00900850607849803 -0.0025432983317234;-0.00902254083111383 -0.00299861983484044],[0.000154336462873472 0;0.000145891751852809 0;0.000148895467964386 0]
355,0,0,0,0,0[-0.00904101758283839 -0.00260194751252282;-0.0090030655423373 -0.0025432983317234;-0.00901698952082847 -0.00299861983484044],[0.000155443254861917 0;0.000147031331063765 0;0.000150025018911987 0]
410,0,0,0,0,0[-0.00903243257669094 -0.00260194751252282;-0.0089949372562214 -0.0025432983317234;-0.00900869855763553 -0.00299861983484044],[0.000156090154773063 0;0.000147786200275019 0;0.000150743948900679 0]
456,0,0,0,0,0[-0.00902526748836024 -0.00260194751252282;-0.00898814771359492 -0.0025432983317234;-0.00900177515453392 -0.00299861983484044],[0.00015574501785765 0;0.000147581912294851 0;0.000150491590602566 0]
504,0,0,0,0,0[-0.00901783070632956 -0.00260194751252282;-0.00898109457348882 -0.0025432983317234;-0.00899458516407517 -0.00299861983484044],[0.000154944189210771 0;0.000146951069780232 0;0.000149802325450711 0]
556,0,0,0,0,0[-0.00900998830329887 -0.00260194751252282;-0.00897364987310736 -0.0025432983317234;-0.00898699848297261 -0.00299861983484044],[0.000153788068527631 0;0.000145989193356967 0;0.000148773408957746 0]
609,0,0,0,0,0[-0.00900176063200798 -0.00260194751252282;-0.00896583190701969 -0.0025432983317234;-0.00897903412718738 -0.00299861983484044],[0.000152361872201151 0;0.00014477485886457 0;0.00014748573629309 0]
