F:\Uni\Simulations\SwarmSimulation
20,0,0,0,0,0[-0.00905467762284402 -0.0033707876845481;-0.00904551612375855 -0.00290632552011417;-0.0090876830594664 -0.00260046917700723],[6.42320934875846e-05 0;6.33865782969717e-05 0;6.7440080489785e-05 0]
81,0,0,0,0,0[-0.00903852093443207 -0.0033707876845481;-0.00902957163410535 -0.00290632552011417;-0.00907072141984303 -0.00260046917700723],[0.000264843604743769 0;0.000261365201078656 0;0.000278038522850644 0]
113,0,0,0,0,0[-0.00902868805970975 -0.0033707876845481;-0.00901986613012035 -0.00290632552011417;-0.00906040594313794 -0.00260046917700723],[0.000317207618903029 0;0.000313098650829832 0;0.000332776313731285 0]
161,0,0,0,0,0[-0.00901015807048308 -0.0033707876845481;-0.00900157082561052 -0.00290632552011417;-0.00904098842525664 -0.00260046917700723],[0.000378135255786876 0;0.000373346123729057 0;0.000396246754435302 0]
217,0,0,0,0,0[-0.00898817588050616 -0.0033707876845481;-0.00897985855538177 -0.00290632552011417;-0.00901798803532356 -0.00260046917700723],[0.000414747316057898 0;0.000409654625510705 0;0.000433958127149656 0]
255,0,0,0,0,0[-0.00897021104966257 -0.0033707876845481;-0.00896210788423885 -0.00290632552011417;-0.00899921722626273 -0.00260046917700723],[0.000427735932485173 0;0.000422636869763012 0;0.000446925973700291 0]
310,0,0,0,0,0[-0.00894585355009641 -0.0033707876845481;-0.00893802851958948 -0.00290632552011417;-0.00897381646957698 -0.00260046917700723],[0.000434957245658955 0;0.000429990529062902 0;0.000453586918299018 0]
356,0,0,0,0,0[-0.00892591762957864 -0.0033707876845481;-0.00891831168482608 -0.00290632552011417;-0.00895306111809137 -0.00260046917700723],[0.0004334839041315 0;0.000428720133727287 0;0.000451301497996299 0]
405,0,0,0,0,0[-0.0089049218679694 -0.0033707876845481;-0.00889753702289337 -0.00290632552011417;-0.00893124094532548 -0.00260046917700723],[0.000428386747454271 0;0.000423875543095426 0;0.000445207609709167 0]
463,0,0,0,0,0[-0.00888058135585667 -0.0033707876845481;-0.00887343983200807 -0.00290632552011417;-0.00890599649079096 -0.00260046917700723],[0.000419728930882747 0;0.000415533088240744 0;0.000435316556340953 0]
505,0,0,0,0,0[-0.00886326117183634 -0.0033707876845481;-0.0088562864448157 -0.00290632552011417;-0.00888805820263715 -0.00260046917700723],[0.00041231223391076 0;0.000408341584830827 0;0.000427026390282823 0]
555,0,0,0,0,0[-0.00884310661559282 -0.0033707876845481;-0.00883631748998508 -0.00290632552011417;-0.00886721787105833 -0.00260046917700723],[0.000403128032344044 0;0.00039941566420853 0;0.000416844794857164 0]
618,0,0,0,0,0[-0.00881844283551699 -0.0033707876845481;-0.00881186841534727 -0.00290632552011417;-0.00884176361244423 -0.00260046917700723],[0.00039146657569621 0;0.000388058744360273 0;0.000404013149075706 0]
656,0,0,0,0,0[-0.00880382600184544 -0.0033707876845481;-0.00879737482679991 -0.00290632552011417;-0.00882669388958891 -0.00260046917700723],[0.000384633130495381 0;0.000381390009652622 0;0.000396550635232503 0]
711,0,0,0,0,0[-0.00878320169611923 -0.0033707876845481;-0.00877691655353176 -0.00290632552011417;-0.00880546111216009 -0.00260046917700723],[0.000374985296177726 0;0.000371966540963048 0;0.000386048356658223 0]
757,0,0,0,0,0[-0.00876666603584091 -0.0033707876845481;-0.00876050927811072 -0.00290632552011417;-0.00878845589580733 -0.00260046917700723],[0.000367474069854148 0;0.000364620956932345 0;0.000377909073887597 0]
806,0,0,0,0,0[-0.00874869126380059 -0.0033707876845481;-0.00874266867736446 -0.00290632552011417;-0.00876999144300003 -0.00260046917700723],[0.000359473500285172 0;0.000356790238177278 0;0.000369266517906556 0]
868,0,0,0,0,0[-0.00872698934240287 -0.0033707876845481;-0.0087211212119693 -0.00290632552011417;-0.00874772720187653 -0.00260046917700723],[0.000350050977288066 0;0.000347559609189594 0;0.000359121168168683 0]
906,0,0,0,0,0[-0.00871389148587445 -0.0033707876845481;-0.00870811407413485 -0.00290632552011417;-0.00873429950717951 -0.00260046917700723],[0.000344662166410907 0;0.000342274958891152 0;0.00035334165816666 0]
956,0,0,0,0,0[-0.00869733270476451 -0.0033707876845481;-0.00869166607562105 -0.00290632552011417;-0.00871733860233939 -0.00260046917700723],[0.000337962092438789 0;0.000335701037247147 0;0.000346169373902737 0]
1005,0,0,0,0,0[-0.00868076111549611 -0.0033707876845481;-0.0086752016230745 -0.00290632552011417;-0.00870037873257096 -0.00260046917700723],[0.000331462131632515 0;0.000329319201004272 0;0.000339228452661108 0]
1061,0,0,0,0,0[-0.00866258429176528 -0.0033707876845481;-0.00865713802046827 -0.00290632552011417;-0.00868179225124475 -0.00260046917700723],[0.000324543337426323 0;0.000322521798229585 0;0.000331857687016495 0]
1105,0,0,0,0,0[-0.00864853292845084 -0.0033707876845481;-0.00864317178012041 -0.00290632552011417;-0.00866743325527214 -0.00260046917700723],[0.00031941385576666 0;0.000317478851001576 0;0.000326406923365072 0]
1155,0,0,0,0,0[-0.00863284109868512 -0.0033707876845481;-0.00862757211408715 -0.00290632552011417;-0.00865140876865828 -0.00260046917700723],[0.000313817441417862 0;0.000311974279266268 0;0.000320470172330141 0]
1205,0,0,0,0,0[-0.00861741379409586 -0.0033707876845481;-0.00861223274382827 -0.00290632552011417;-0.00863566444771358 -0.00260046917700723],[0.000308480193306349 0;0.000306721882314538 0;0.000314819166264561 0]
1266,0,0,0,0,0[-0.00859897879744729 -0.0033707876845481;-0.0085938991423583 -0.00290632552011417;-0.00861686440425032 -0.00260046917700723],[0.000302265684353526 0;0.000300603178868196 0;0.000308251100427322 0]
