F:\Uni\Simulations\SwarmSimulation
12,0,0,0,0,0[-0.00905806107720675 -0.00309350159744383;-0.009087131081311 -0.00265593669343223;-0.00902438715711221 -0.00316120955165835],[0.000228461246822622 0;0.000238526513116573 0;0.000217660892354053 0]
61,0,0,0,0,0[-0.00899641106471617 -0.00309350159744383;-0.00902277908166979 -0.00265593669343223;-0.00896563819773132 -0.00316120955165835],[0.00125846292433657 0;0.00131361864148462 0;0.00119924366982901 0]
111,0,0,0,0,0[-0.00890507306068716 -0.00309350159744383;-0.00892777866473318 -0.00265593669343223;-0.0088782707739132 -0.00316120955165835],[0.00182664859079808 0;0.00189989237850414 0;0.00174724183318411 0]
162,0,0,0,0,0[-0.00879964470789478 -0.00309350159744383;-0.00881863496317311 -0.00265593669343223;-0.0087769218161409 -0.00316120955165835],[0.00206712117534817 0;0.00213996757679602 0;0.00198713696232319 0]
223,0,0,0,0,0[-0.00868604368686873 -0.00309350159744383;-0.00870163527558584 -0.00265593669343223;-0.00866710714259097 -0.00316120955165835],[0.00210398658017897 0;0.00216693274712985 0;0.00203386023619292 0]
260,0,0,0,0,0[-0.00859248613334848 -0.00309350159744383;-0.00860567383007229 -0.00265593669343223;-0.00857626035819449 -0.00316120955165835],[0.00203362780348368 0;0.00208588036257923 0;0.00197470476358449 0]
305,0.33333,0,0,0,0[-0.00850566245658159 -0.00309350159744383;-0.00851694443753293 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0.00192916646231381 0;0.00197151024562111 0;0.0018808468628879 0]
370,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0.0017635246919867 0;0.0017936844098741 0;0 0]
405,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
462,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
506,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
555,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
618,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
654,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
704,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
755,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
805,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
854,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
909,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
955,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
1017,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
1057,1,0,0,0,0[-0.00839280505670683 -0.00309350159744383;-0.00840215695561441 -0.00265593669343223;-0.00849161134357523 -0.00316120955165835],[0 0;0 0;0 0]
