F:\Uni\Simulations\SwarmSimulation
63,0,0,0,0,0,[-0.000941330697082481 -0.000343947555588727;-0.000947939721404948 -0.000343666744192904;-0.000945155196276018 -0.000301300408674427],[2.79242862014044e-05 0;2.79242862014044e-05 0;2.79242862014044e-05 0]
112,0,0,0,0,0,[-0.000938538268462335 -0.000343947555588727;-0.000945147292784802 -0.000343666744192904;-0.000942362767655872 -0.000301300408674427],[5.57325399110813e-05 0;5.57325399110813e-05 0;5.57325399110813e-05 0]
196,0,0,0,0,0,[-0.000935757443091367 -0.000343947555588727;-0.000942366467413834 -0.000343666744192904;-0.000939581942284904 -0.000301300408674427],[8.31946227197026e-05 0;8.31946227197026e-05 0;8.31946227197026e-05 0]
260,0,0,0,0,0,[-0.000930218806190359 -0.000343947555588727;-0.000936827830512826 -0.000343666744192904;-0.000934043305383896 -0.000301300408674427],[0.00011008898304195 0;0.00011008898304195 0;0.00011008898304195 0]
367,0,0,0,0,0,[-0.000924748544787166 -0.000343947555588727;-0.000931357569109634 -0.000343666744192904;-0.000928573043980704 -0.000301300408674427],[0.000136209823099661 0;0.000136209823099661 0;0.000136209823099661 0]
417,0,0,0,0,0,[-0.000916597823880387 -0.000343947555588727;-0.000923206848202854 -0.000343666744192904;-0.000920422323073925 -0.000301300408674427],[0.000161373326024773 0;0.000161373326024773 0;0.000161373326024773 0]
507,0,0,0,0,0,[-0.000908611212184684 -0.000343947555588727;-0.000915220236507151 -0.000343666744192904;-0.000912435711378221 -0.000301300408674427],[0.000185422547525543 0;0.000185422547525543 0;0.000185422547525543 0]
575,0,0,0,0,0,[-0.000898055569127828 -0.000343947555588727;-0.000904664593450295 -0.000343666744192904;-0.000901880068321365 -0.000301300408674427],[0.000208230715818835 0;0.000208230715818835 0;0.000208230715818835 0]
662,0,0,0,0,0,[-0.000887788140602796 -0.000343947555588727;-0.000894397164925263 -0.000343666744192904;-0.000891612639796333 -0.000301300408674427],[0.000229702843306698 0;0.000229702843306698 0;0.000229702843306698 0]
735,0,0,0,0,0,[-0.000875085284797154 -0.000343947555588727;-0.000881694309119621 -0.000343666744192904;-0.000878909783990691 -0.000301300408674427],[0.000249775709692094 0;0.000249775709692094 0;0.000249775709692094 0]
829,0,0,0,0,0,[-0.000862810569633582 -0.000343947555588727;-0.000869419593956049 -0.000343666744192904;-0.000866635068827119 -0.000301300408674427],[0.000268416407840906 0;0.000268416407840906 0;0.000268416407840906 0]
894,0,0,0,0,0,[-0.000848243644013059 -0.000343947555588727;-0.000854852668335526 -0.000343666744192904;-0.000852068143206597 -0.000301300408674427],[0.000285619736460261 0;0.000285619736460261 0;0.000285619736460261 0]
984,0.66667,0,0,0,0,[-0.000834248595987552 -0.000343947555588727;-0.00084085762031002 -0.000343666744192904;-0.00083807309518109 -0.000301300408674427],[0.00030140477181228 0;0.00030140477181228 0;0.00030140477181228 0]
1055,1,0,0,0,0,[-0.000818103166831828 -0.000343947555588727;-0.000824712191154295 -0.000343666744192904;-0.000821927666025365 -0.000301300408674427],[0.000315810956444986 0;0.000315810956444986 0;0.000315810956444986 0]
1137,1,0,0,0,0,[-0.000802667500343051 -0.000343947555588727;-0.000809276524665518 -0.000343666744192904;-0.000806491999536588 -0.000301300408674427],[0.00032889401442239 0;0.00032889401442239 0;0.00032889401442239 0]
1214,1,0,0,0,0,[-0.000785213765389586 -0.000343947555588727;-0.000791822789712053 -0.000343666744192904;-0.000789038264583124 -0.000301300408674427],[0.000340721950976584 0;0.000340721950976584 0;0.000340721950976584 0]
1307,1,0,0,0,0,[-0.00076859530524539 -0.000343947555588727;-0.000775204329567857 -0.000343666744192904;-0.000772419804438927 -0.000301300408674427],[0.000351371331474776 0;0.000351371331474776 0;0.000351371331474776 0]
1380,1,0,0,0,0,[-0.000750076632242106 -0.000343947555588727;-0.000756685656564574 -0.000343666744192904;-0.000753901131435644 -0.000301300408674427],[0.000360923970071589 0;0.000360923970071589 0;0.000360923970071589 0]
1454,0,0,0,0,0,[-0.000732502908238229 -0.000343947555588727;-0.000739111932560696 -0.000343666744192904;-0.000736327407431767 -0.000301300408674427],[0.000369464099685687 0;0.000369464099685687 0;0.000369464099685687 0]
1537,0,0,0,0,0,[-0.000713130222273536 -0.000343947555588727;-0.000719739246596003 -0.000343666744192904;-0.000716954721467073 -0.000301300408674427],[0.00037707604634115 0;0.00037707604634115 0;0.00037707604634115 0]
1614,0,0,0,0,0,[-0.000694795303604113 -0.000343947555588727;-0.00070140432792658 -0.000343666744192904;-0.00069861980279765 -0.000301300408674427],[0.000383842394190418 0;0.000383842394190418 0;0.000383842394190418 0]
1707,0,0,0,0,0,[-0.000674745982854493 -0.000343947555588727;-0.00068135500717696 -0.000343666744192904;-0.00067857048204803 -0.000301300408674427],[0.000389842602480556 0;0.000389842602480556 0;0.000389842602480556 0]
