F:\Uni\Simulations\SwarmSimulation
50,0,0,0,0,0,[-0.000943682336264715 -0.000317775087535953;-0.000948656966956864 -0.000335913839737851;-0.000946032006813669 -0.00035190339977499],[6.28296439531598e-05 0;6.28296439531598e-05 0;6.28296439531598e-05 0]
114,0,0,0,0,0,[-0.000937399371869386 -0.000317775087535953;-0.000942374002561535 -0.000335913839737851;-0.000939749042418339 -0.00035190339977499],[0.000125071873416787 0;0.000125071873416787 0;0.000125071873416787 0]
183,0,0,0,0,0,[-0.000931175148923024 -0.000317775087535953;-0.000936149779615173 -0.000335913839737851;-0.000933524819471977 -0.00035190339977499],[0.000185573775771387 0;0.000185573775771387 0;0.000185573775771387 0]
262,0,0,0,0,0,[-0.000918841994292235 -0.000317775087535953;-0.000923816624984384 -0.000335913839737851;-0.000921191664841188 -0.00035190339977499],[0.000243278953133379 0;0.000243278953133379 0;0.000243278953133379 0]
375,0,0,0,0,0,[-0.000906847253609674 -0.000317775087535953;-0.000911821884301823 -0.000335913839737851;-0.000909196924158627 -0.00035190339977499],[0.00029730166729209 0;0.00029730166729209 0;0.00029730166729209 0]
427,0,0,0,0,0,[-0.000889111827563015 -0.000317775087535953;-0.000894086458255164 -0.000335913839737851;-0.000891461498111968 -0.00035190339977499],[0.000346978755618419 0;0.000346978755618419 0;0.000346978755618419 0]
496,0,0,0,0,0,[-0.000872149378047822 -0.000317775087535953;-0.000877124008739971 -0.000335913839737851;-0.000874499048596775 -0.00035190339977499],[0.000391893217425774 0;0.000391893217425774 0;0.000391893217425774 0]
581,0,0,0,0,0,[-0.000849922505820428 -0.000317775087535953;-0.000854897136512577 -0.000335913839737851;-0.000852272176369381 -0.00035190339977499],[0.000431869454492535 0;0.000431869454492535 0;0.000431869454492535 0]
657,1,0,0,0,0,[-0.00082896243259856 -0.000317775087535953;-0.000833937063290709 -0.000335913839737851;-0.000831312103147513 -0.00035190339977499],[0.000466945427560585 0;0.000466945427560585 0;0.000466945427560585 0]
749,1,0,0,0,0,[-0.000803227963064362 -0.000317775087535953;-0.000808202593756511 -0.000335913839737851;-0.000805577633613316 -0.00035190339977499],[0.000497330076495544 0;0.000497330076495544 0;0.000497330076495544 0]
817,1,0,0,0,0,[-0.000779229424948999 -0.000317775087535953;-0.000784204055641148 -0.000335913839737851;-0.000781579095497953 -0.00035190339977499],[0.000523354882786908 0;0.000523354882786908 0;0.000523354882786908 0]
