F:\Uni\Simulations\SwarmSimulation
52,0,0,0,0,0,[-0.00094927114700901 -0.000342457151211432;-0.000943162844275916 -0.000314146078786184;-0.000942772754603432 -0.000328270237582473],[5.58485724028087e-05 0;5.58485724028087e-05 0;5.58485724028087e-05 0]
112,0,0,0,0,0,[-0.000943686289768718 -0.000342457151211432;-0.000937577987035624 -0.000314146078786184;-0.00093718789736314 -0.000328270237582473],[0.000111233014838592 0;0.000111233014838592 0;0.000111233014838592 0]
190,0,0,0,0,0,[-0.00093814784552514 -0.000342457151211432;-0.000932039542792046 -0.000314146078786184;-0.000931649453119562 -0.000328270237582473],[0.000165240463939899 0;0.000165240463939899 0;0.000165240463939899 0]
259,0,0,0,0,0,[-0.000927162243374717 -0.000342457151211432;-0.000921053940641623 -0.000314146078786184;-0.000920663850969139 -0.000328270237582473],[0.000217026022808204 0;0.000217026022808204 0;0.000217026022808204 0]
368,0,0,0,0,0,[-0.000916445243244308 -0.000342457151211432;-0.000910336940511215 -0.000314146078786184;-0.00090994685083873 -0.000328270237582473],[0.000265865869225945 0;0.000265865869225945 0;0.000265865869225945 0]
428,0,0,0,0,0,[-0.000900575656452112 -0.000342457151211432;-0.000894467353719018 -0.000314146078786184;-0.000894077264046534 -0.000328270237582473],[0.000311196260783192 0;0.000311196260783192 0;0.000311196260783192 0]
496,0,0,0,0,0,[-0.00088532561716598 -0.000342457151211432;-0.000879217314432886 -0.000314146078786184;-0.000878827224760402 -0.000328270237582473],[0.000352634162366412 0;0.000352634162366412 0;0.000352634162366412 0]
584,0,0,0,0,0,[-0.000865312240215462 -0.000342457151211432;-0.000859203937482368 -0.000314146078786184;-0.000858813847809884 -0.000328270237582473],[0.000389978794214012 0;0.000389978794214012 0;0.000389978794214012 0]
657,0.33333,0,0,0,0,[-0.000846327737744571 -0.000342457151211432;-0.000840219435011477 -0.000314146078786184;-0.000839829345338993 -0.000328270237582473],[0.000423196695043191 0;0.000423196695043191 0;0.000423196695043191 0]
735,1,0,0,0,0,[-0.000822992570711136 -0.000342457151211432;-0.000816884267978043 -0.000314146078786184;-0.000816494178305558 -0.000328270237582473],[0.000452395096903668 0;0.000452395096903668 0;0.000452395096903668 0]
830,1,0,0,0,0,[-0.000801088228054198 -0.000342457151211432;-0.000794979925321104 -0.000314146078786184;-0.00079458983564862 -0.000328270237582473],[0.000477789185942723 0;0.000477789185942723 0;0.000477789185942723 0]
896,1,0,0,0,0,[-0.000775213652116859 -0.000342457151211432;-0.000769105349383765 -0.000314146078786184;-0.000768715259711281 -0.000328270237582473],[0.000499668341644555 0;0.000499668341644555 0;0.000499668341644555 0]
983,0.33333,0,0,0,0,[-0.000751121393889738 -0.000342457151211432;-0.000745013091156644 -0.000314146078786184;-0.00074462300148416 -0.000328270237582473],[0.00051836517687772 0;0.00051836517687772 0;0.00051836517687772 0]
1057,0,0,0,0,0,[-0.000723377134429083 -0.000342457151211432;-0.000717268831695989 -0.000314146078786184;-0.000716878742023505 -0.000328270237582473],[0.000534229670480116 0;0.000534229670480116 0;0.000534229670480116 0]
1137,0,0,0,0,0,[-0.000697698426841723 -0.000342457151211432;-0.000691590124108629 -0.000314146078786184;-0.000691200034436145 -0.000328270237582473],[0.000547609298439465 0;0.000547609298439465 0;0.000547609298439465 0]
1229,0,0,0,0,0,[-0.000668616204585134 -0.000342457151211432;-0.00066250790185204 -0.000314146078786184;-0.000662117812179556 -0.000328270237582473],[0.000558835043360574 0;0.000558835043360574 0;0.000558835043360574 0]
1296,0,0,0,0,0,[-0.000641814922505663 -0.000342457151211432;-0.00063570661977257 -0.000314146078786184;-0.000635316530100085 -0.000328270237582473],[0.000568212540474548 0;0.000568212540474548 0;0.000568212540474548 0]
1386,0,0,0,0,0,[-0.000611794950537677 -0.000342457151211432;-0.000605686647804583 -0.000314146078786184;-0.000605296558132099 -0.000328270237582473],[0.000576017342070202 0;0.000576017342070202 0;0.000576017342070202 0]
1456,0,0,0,0,0,[-0.000584213188298641 -0.000342457151211432;-0.000578104885565548 -0.000314146078786184;-0.000577714795893063 -0.000328270237582473],[0.000582493248839311 0;0.000582493248839311 0;0.000582493248839311 0]
1540,0,0,0,0,0,[-0.000553545625653745 -0.000342457151211432;-0.000547437322920651 -0.000314146078786184;-0.000547047233248166 -0.000328270237582473],[0.000587852765309667 0;0.000587852765309667 0;0.000587852765309667 0]
1617,0,0,0,0,0,[-0.000525427911767674 -0.000342457151211432;-0.00051931960903458 -0.000314146078786184;-0.000518929519362096 -0.000328270237582473],[0.00059227890853445 0;0.00059227890853445 0;0.00059227890853445 0]
1707,0,0,0,0,0,[-0.000494317734800299 -0.000342457151211432;-0.000488209432067205 -0.000314146078786184;-0.000487819342394721 -0.000328270237582473],[0.000595927782686799 0;0.000595927782686799 0;0.000595927782686799 0]
