F:\Uni\Simulations\SwarmSimulation
46,0,0,0,0,0[-0.00094726783292 -0.000301234398099551;-0.000948273954983523 -0.000341274620206904;-0.000944885910611808 -0.000360605861730643],[5.16329640136742e-05 0;5.16329640136742e-05 0;5.16329640136742e-05 0]
78,0,0,0,0,0[-0.000947267832919725 -0.000301234398099551;-0.000948273954983248 -0.000341274620206904;-0.000944885910611533 -0.000360605861730643],[5.43979711200884e-05 0;5.43979711200884e-05 0;5.43979711200884e-05 0]
135,0,0,0,0,0[-0.000944324794939201 -0.000301234398099551;-0.000945330917002724 -0.000341274620206904;-0.000941942872631009 -0.000360605861730643],[0.000131052920122023 0;0.000131052920122023 0;0.000131052920122023 0]
183,0,0,0,0,0[-0.000944602136443428 -0.000301234398099551;-0.000945608258506951 -0.000341274620206904;-0.000942220214135236 -0.000360605861730643],[0.000122686285564297 0;0.000122686285564297 0;0.000122686285564297 0]
254,0,0,0,0,0[-0.000935544073316033 -0.000301234398099551;-0.000936550195379556 -0.000341274620206904;-0.000933162151007841 -0.000360605861730643],[0.000224271775011156 0;0.000224271775011156 0;0.000224271775011156 0]
273,0,0,0,0,0[-0.000941781901927954 -0.000301234398099551;-0.000942788023991477 -0.000341274620206904;-0.000939399979619762 -0.000360605861730643],[0.000154703864229458 0;0.000154703864229458 0;0.000154703864229458 0]
328,0,0,0,0,0[-0.000922983197610493 -0.000301234398099551;-0.000923989319674016 -0.000341274620206904;-0.000920601275302301 -0.000360605861730643],[0.000302098847144463 0;0.000302098847144463 0;0.000302098847144463 0]
368,0,0,0,0,0[-0.000935593605722968 -0.000301234398099551;-0.00093659972778649 -0.000341274620206904;-0.000933211683414775 -0.000360605861730643],[0.000210369427961146 0;0.000210369427961146 0;0.000210369427961146 0]
424,0,0,0,0,0[-0.000906068040755774 -0.000301234398099551;-0.000907074162819297 -0.000341274620206904;-0.000903686118447582 -0.000360605861730643],[0.000379808911206332 0;0.000379808911206332 0;0.000379808911206332 0]
467,0,0,0,0,0[-0.000926547874399589 -0.000301234398099551;-0.000927553996463112 -0.000341274620206904;-0.000924165952091397 -0.000360605861730643],[0.000270150923896048 0;0.000270150923896048 0;0.000270150923896048 0]
529,0,0,0,0,0[-0.000882515437374706 -0.000301234398099551;-0.000883521559438229 -0.000341274620206904;-0.000880133515066514 -0.000360605861730643],[0.00046575598041885 0;0.00046575598041885 0;0.00046575598041885 0]
563,0,0,0,0,0[-0.000917363666354415 -0.000301234398099551;-0.000918369788417938 -0.000341274620206904;-0.000914981744046223 -0.000360605861730643],[0.000317380770358738 0;0.000317380770358738 0;0.000317380770358738 0]
620,0,0,0,0,0[-0.000855967716047552 -0.000301234398099551;-0.000856973838111075 -0.000341274620206904;-0.00085358579373936 -0.000360605861730643],[0.000544656842430052 0;0.000544656842430052 0;0.000544656842430052 0]
663,0,0,0,0,0[-0.000903716525685393 -0.000301234398099551;-0.000904722647748916 -0.000341274620206904;-0.000901334603377201 -0.000360605861730643],[0.000377061076016961 0;0.000377061076016961 0;0.000377061076016961 0]
728,1,0,0,0,0[-0.000820563691560324 -0.000301234398099551;-0.000821569813623847 -0.000341274620206904;-0.000818181769252132 -0.000360605861730643],[0.000634507380967693 0;0.000634507380967693 0;0.000634507380967693 0]
767,0,0,0,0,0[-0.000889390322082917 -0.000301234398099551;-0.000890396444146439 -0.000341274620206904;-0.000887008399774724 -0.000360605861730643],[0.000429750889472448 0;0.000429750889472448 0;0.000429750889472448 0]
816,1,0,0,0,0[-0.000788836386148645 -0.000301234398099551;-0.000789842508212168 -0.000341274620206904;-0.000786454463840453 -0.000360605861730643],[0.000703549029542782 0;0.000703549029542782 0;0.000703549029542782 0]
867,0,0,0,0,0[-0.000867471951293057 -0.000301234398099551;-0.00086847807335658 -0.000341274620206904;-0.000865090028984865 -0.000360605861730643],[0.00050040061872968 0;0.00050040061872968 0;0.00050040061872968 0]
916,1,0,0,0,0[-0.000754365317821582 -0.000301234398099551;-0.000755371439885105 -0.000341274620206904;-0.00075198339551339 -0.000360605861730643],[0.000771127277839747 0;0.000771127277839747 0;0.000771127277839747 0]
964,0,0,0,0,0[-0.00084344682698194 -0.000301234398099551;-0.000844452949045463 -0.000341274620206904;-0.000841064904673748 -0.000360605861730643],[0.000566837351148255 0;0.000566837351148255 0;0.000566837351148255 0]
1022,0,0,0,0,0[-0.000709646854389874 -0.000301234398099551;-0.000710652976453397 -0.000341274620206904;-0.000707264932081681 -0.000360605861730643],[0.000851009860632279 0;0.000851009860632279 0;0.000851009860632279 0]
1064,1,0,0,0,0[-0.000819635437398744 -0.000301234398099551;-0.000820641559462267 -0.000341274620206904;-0.000817253515090552 -0.000360605861730643],[0.000624911903914007 0;0.000624911903914007 0;0.000624911903914007 0]
1133,0,0,0,0,0[-0.000650926966239415 -0.000301234398099551;-0.000651933088302938 -0.000341274620206904;-0.000648545043931223 -0.000360605861730643],[0.000945913089866768 0;0.000945913089866768 0;0.000945913089866768 0]
1164,1,0,0,0,0[-0.000800264274483593 -0.000301234398099551;-0.000801270396547116 -0.000341274620206904;-0.000797882352175401 -0.000360605861730643],[0.000667737299408289 0;0.000667737299408289 0;0.000667737299408289 0]
1221,0,0,0,0,0[-0.000597010670657706 -0.000301234398099551;-0.000598016792721229 -0.000341274620206904;-0.000594628748349514 -0.000360605861730643],[0.00102421208549626 0;0.00102421208549626 0;0.00102421208549626 0]
1264,1,0,0,0,0[-0.000772224524605892 -0.000301234398099551;-0.000773230646669415 -0.000341274620206904;-0.0007698426022977 -0.000360605861730643],[0.000725697600135359 0;0.000725697600135359 0;0.000725697600135359 0]
1327,0,0,0,0,0[-0.00053145803405101 -0.000301234398099551;-0.000532464156114533 -0.000341274620206904;-0.000529076111742818 -0.000360605861730643],[0.00111200810974026 0;0.00111200810974026 0;0.00111200810974026 0]
1363,0,0,0,0,0[-0.000746102688687801 -0.000301234398099551;-0.000747108810751324 -0.000341274620206904;-0.000743720766379609 -0.000360605861730643],[0.000775341614082037 0;0.000775341614082037 0;0.000775341614082037 0]
1420,0,0,0,0,0[-0.000468074454125871 -0.000301234398099551;-0.000469080576189394 -0.000341274620206904;-0.000465692531817679 -0.000360605861730643],[0.00119009890891144 0;0.00119009890891144 0;0.00119009890891144 0]
1463,0,0,0,0,0[-0.000712763567159219 -0.000301234398099551;-0.000713769689222742 -0.000341274620206904;-0.000710381644851027 -0.000360605861730643],[0.000834588870463387 0;0.000834588870463387 0;0.000834588870463387 0]
