F:\Uni\Simulations\SwarmSimulation
47,0,0,0,0,0,[-0.000946014105032642 -0.000312944686857819;-0.000943518015935338 -0.000383601682029526;-0.000945539733519449 -0.000364744335113266],[4.18864293021066e-05 0;4.18864293021066e-05 0;4.18864293021066e-05 0]
108,0,0,0,0,0,[-0.000941825462102422 -0.000312944686857819;-0.000939329373005119 -0.000383601682029526;-0.00094135109058923 -0.000364744335113266],[8.11621275391317e-05 0;8.11621275391317e-05 0;8.11621275391317e-05 0]
198,0,0,0,0,0,[-0.00093789789227872 -0.000312944686857819;-0.000935401803181417 -0.000383601682029526;-0.000937423520765528 -0.000364744335113266],[0.000113246385189198 0;0.000113246385189198 0;0.000113246385189198 0]
261,0,0,0,0,0,[-0.000930500823583496 -0.000312944686857819;-0.000928004734486193 -0.000383601682029526;-0.000930026452070303 -0.000364744335113266],[0.000136049045346802 0;0.000136049045346802 0;0.000136049045346802 0]
377,0,0,0,0,0,[-0.000924292987744035 -0.000312944686857819;-0.000921796898646732 -0.000383601682029526;-0.000923818616230843 -0.000364744335113266],[0.000150392778239785 0;0.000150392778239785 0;0.000150392778239785 0]
417,0,0,0,0,0,[-0.000915461545759515 -0.000312944686857819;-0.000912965456662211 -0.000383601682029526;-0.000914987174246322 -0.000364744335113266],[0.000158622671021342 0;0.000158622671021342 0;0.000158622671021342 0]
499,0,0,0,0,0,[-0.000908430720641899 -0.000312944686857819;-0.000905934631544596 -0.000383601682029526;-0.000907956349128707 -0.000364744335113266],[0.000163068226596757 0;0.000163068226596757 0;0.000163068226596757 0]
576,0,0,0,0,0,[-0.000899154723099838 -0.000312944686857819;-0.000896658634002535 -0.000383601682029526;-0.000898680351586645 -0.000364744335113266],[0.000165385739785124 0;0.000165385739785124 0;0.000165385739785124 0]
668,0,0,0,0,0,[-0.000891892146663387 -0.000312944686857819;-0.000889396057566083 -0.000383601682029526;-0.000891417775150194 -0.000364744335113266],[0.000166570560061785 0;0.000166570560061785 0;0.000166570560061785 0]
734,0,0,0,0,0,[-0.000882497667093659 -0.000312944686857819;-0.000880001577996356 -0.000383601682029526;-0.000882023295580467 -0.000364744335113266],[0.000167170120327948 0;0.000167170120327948 0;0.000167170120327948 0]
824,0,0,0,0,0,[-0.000875175134630592 -0.000312944686857819;-0.000872679045533289 -0.000383601682029526;-0.000874700763117399 -0.000364744335113266],[0.000167471926701079 0;0.000167471926701079 0;0.000167471926701079 0]
895,0,0,0,0,0,[-0.000865750474423551 -0.000312944686857819;-0.000863254385326248 -0.000383601682029526;-0.000865276102910359 -0.000364744335113266],[0.000167623445050925 0;0.000167623445050925 0;0.000167623445050925 0]
975,0,0,0,0,0,[-0.000858412790125499 -0.000312944686857819;-0.000855916701028196 -0.000383601682029526;-0.000857938418612307 -0.000364744335113266],[0.000167699410852133 0;0.000167699410852133 0;0.000167699410852133 0]
1054,0,0,0,0,0,[-0.000848980533338338 -0.000312944686857819;-0.000846484444241035 -0.000383601682029526;-0.000848506161825145 -0.000364744335113266],[0.000167737471632763 0;0.000167737471632763 0;0.000167737471632763 0]
1144,0.33333,0,0,0,0,[-0.000841639042962223 -0.000312944686857819;-0.00083914295386492 -0.000383601682029526;-0.00084116467144903 -0.000364744335113266],[0.000167756534584916 0;0.000167756534584916 0;0.000167756534584916 0]
1215,1,0,0,0,0,[-0.000832204879879846 -0.000312944686857819;-0.000829708790782543 -0.000383601682029526;-0.000831730508366654 -0.000364744335113266],[0.000167766080749368 0;0.000167766080749368 0;0.000167766080749368 0]
1298,1,0,0,0,0,[-0.000824862434887286 -0.000312944686857819;-0.000822366345789983 -0.000383601682029526;-0.000824388063374093 -0.000364744335113266],[0.000167770860780705 0;0.000167770860780705 0;0.000167770860780705 0]
1375,1,0,0,0,0,[-0.000815427793801776 -0.000312944686857819;-0.000812931704704473 -0.000383601682029526;-0.000814953422288583 -0.000364744335113266],[0.000167773254174087 0;0.000167773254174087 0;0.000167773254174087 0]
1467,1,0,0,0,0,[-0.000808085109469877 -0.000312944686857819;-0.000805589020372574 -0.000383601682029526;-0.000807610737956685 -0.000364744335113266],[0.000167774452536473 0;0.000167774452536473 0;0.000167774452536473 0]
1535,1,0,0,0,0,[-0.000798650348548129 -0.000312944686857819;-0.000796154259450825 -0.000383601682029526;-0.000798175977034936 -0.000364744335113266],[0.000167775052545268 0;0.000167775052545268 0;0.000167775052545268 0]
1620,1,0,0,0,0,[-0.00079130760421535 -0.000312944686857819;-0.000788811515118047 -0.000383601682029526;-0.000790833232702158 -0.000364744335113266],[0.000167775352962433 0;0.000167775352962433 0;0.000167775352962433 0]
1694,1,0,0,0,0,[-0.000781872813251885 -0.000312944686857819;-0.000779376724154582 -0.000383601682029526;-0.000781398441738693 -0.000364744335113266],[0.00016777550337728 0;0.00016777550337728 0;0.00016777550337728 0]
1773,1,0,0,0,0,[-0.000774530053877622 -0.000312944686857819;-0.000772033964780319 -0.000383601682029526;-0.00077405568236443 -0.000364744335113266],[0.000167775578687877 0;0.000167775578687877 0;0.000167775578687877 0]
1866,1,0,0,0,0,[-0.000765095255383098 -0.000312944686857819;-0.000762599166285794 -0.000383601682029526;-0.000764620883869905 -0.000364744335113266],[0.000167775616394807 0;0.000167775616394807 0;0.000167775616394807 0]
1934,1,0,0,0,0,[-0.000757752492238142 -0.000312944686857819;-0.000755256403140839 -0.000383601682029526;-0.000757278120724949 -0.000364744335113266],[0.000167775635274117 0;0.000167775635274117 0;0.000167775635274117 0]
2020,0,0,0,0,0,[-0.000748317691855686 -0.000312944686857819;-0.000745821602758383 -0.000383601682029526;-0.000747843320342493 -0.000364744335113266],[0.000167775644726711 0;0.000167775644726711 0;0.000167775644726711 0]
2094,0,0,0,0,0,[-0.000740974927765471 -0.000312944686857819;-0.000738478838668167 -0.000383601682029526;-0.000740500556252278 -0.000364744335113266],[0.000167775649459486 0;0.000167775649459486 0;0.000167775649459486 0]
2190,0,0,0,0,0,[-0.000731540126909737 -0.000312944686857819;-0.000729044037812434 -0.000383601682029526;-0.000731065755396545 -0.000364744335113266],[0.000167775651829116 0;0.000167775651829116 0;0.000167775651829116 0]
2254,0,0,0,0,0,[-0.000724197362582559 -0.000312944686857819;-0.000721701273485256 -0.000383601682029526;-0.000723722991069366 -0.000364744335113266],[0.000167775653015555 0;0.000167775653015555 0;0.000167775653015555 0]
