F:\Uni\Simulations\SwarmSimulation
46,0,0,0,0,0,[-0.000947026531841121 -0.000359670606142239;-0.000947017560281122 -0.000369871677816183;-0.000943689300007864 -0.00034157042699554],[2.79242862014044e-05 0;2.79242862014044e-05 0;2.79242862014044e-05 0]
116,0,0,0,0,0,[-0.000944234103220975 -0.000359670606142239;-0.000944225131660976 -0.000369871677816183;-0.000940896871387718 -0.00034157042699554],[5.46882474850141e-05 0;5.46882474850141e-05 0;5.46882474850141e-05 0]
194,0,0,0,0,0,[-0.000941557707092614 -0.000359670606142239;-0.000941548735532615 -0.000369871677816183;-0.000938220475259357 -0.00034157042699554],[7.81620883560216e-05 0;7.81620883560216e-05 0;7.81620883560216e-05 0]
263,0,0,0,0,0,[-0.000936417894385368 -0.000359670606142239;-0.000936408922825369 -0.000369871677816183;-0.000933080662552111 -0.00034157042699554],[9.6995456009054e-05 0;9.6995456009054e-05 0;9.6995456009054e-05 0]
359,0,0,0,0,0,[-0.000931858161491704 -0.000359670606142239;-0.000931849189931706 -0.000369871677816183;-0.000928520929658448 -0.00034157042699554],[0.000110920058110657 0;0.000110920058110657 0;0.000110920058110657 0]
415,0,0,0,0,0,[-0.000925325888574299 -0.000359670606142239;-0.000925316917014301 -0.000369871677816183;-0.000921988656741042 -0.00034157042699554],[0.00012053656643651 0;0.00012053656643651 0;0.00012053656643651 0]
495,0,0,0,0,0,[-0.000919804504848052 -0.000359670606142239;-0.000919795533288053 -0.000369871677816183;-0.000916467273014795 -0.00034157042699554],[0.000126840982050994 0;0.000126840982050994 0;0.000126840982050994 0]
586,0,0,0,0,0,[-0.000912641790369198 -0.000359670606142239;-0.0009126328188092 -0.000369871677816183;-0.000909304558535942 -0.00034157042699554],[0.000130824689260931 0;0.000130824689260931 0;0.000130824689260931 0]
664,0,0,0,0,0,[-0.000906722035921958 -0.000359670606142239;-0.000906713064361959 -0.000369871677816183;-0.000903384804088701 -0.00034157042699554],[0.000133280973101752 0;0.000133280973101752 0;0.000133280973101752 0]
737,0,0,0,0,0,[-0.000899313693059022 -0.000359670606142239;-0.000899304721499024 -0.000369871677816183;-0.000895976461225766 -0.00034157042699554],[0.000134771936015428 0;0.000134771936015428 0;0.000134771936015428 0]
822,0,0,0,0,0,[-0.000893244842320415 -0.000359670606142239;-0.000893235870760416 -0.000369871677816183;-0.000889907610487158 -0.00034157042699554],[0.000135668192239773 0;0.000135668192239773 0;0.000135668192239773 0]
897,0,0,0,0,0,[-0.000885746873835045 -0.000359670606142239;-0.000885737902275047 -0.000369871677816183;-0.000882409642001788 -0.00034157042699554],[0.000136203771192511 0;0.000136203771192511 0;0.000136203771192511 0]
978,0,0,0,0,0,[-0.000879624465201163 -0.000359670606142239;-0.000879615493641165 -0.000369871677816183;-0.000876287233367907 -0.00034157042699554],[0.000136522677850418 0;0.000136522677850418 0;0.000136522677850418 0]
1070,0,0,0,0,0,[-0.000872094606050003 -0.000359670606142239;-0.000872085634490005 -0.000369871677816183;-0.000868757374216746 -0.00034157042699554],[0.000136712163046213 0;0.000136712163046213 0;0.000136712163046213 0]
1138,0,0,0,0,0,[-0.000865953248896542 -0.000359670606142239;-0.000865944277336544 -0.000369871677816183;-0.000862616017063285 -0.00034157042699554],[0.000136824606371393 0;0.000136824606371393 0;0.000136824606371393 0]
1226,0,0,0,0,0,[-0.000858412145412864 -0.000359670606142239;-0.000858403173852865 -0.000369871677816183;-0.000855074913579607 -0.00034157042699554],[0.000136891281389219 0;0.000136891281389219 0;0.000136891281389219 0]
1299,0,0,0,0,0,[-0.00085226412075762 -0.000359670606142239;-0.000852255149197622 -0.000369871677816183;-0.000848926888924364 -0.00034157042699554],[0.00013693079960636 0;0.00013693079960636 0;0.00013693079960636 0]
1382,0,0,0,0,0,[-0.000844719065452228 -0.000359670606142239;-0.000844710093892229 -0.000369871677816183;-0.000841381833618971 -0.00034157042699554],[0.000136954215769914 0;0.000136954215769914 0;0.000136954215769914 0]
1455,1,0,0,0,0,[-0.000838568699180629 -0.000359670606142239;-0.00083855972762063 -0.000369871677816183;-0.000835231467347372 -0.00034157042699554],[0.000136968088613773 0;0.000136968088613773 0;0.000136968088613773 0]
1552,1,0,0,0,0,[-0.00083102225659085 -0.000359670606142239;-0.000831013285030852 -0.000369871677816183;-0.000827685024757594 -0.00034157042699554],[0.000136976306773473 0;0.000136976306773473 0;0.000136976306773473 0]
1617,1,0,0,0,0,[-0.000824871068503281 -0.000359670606142239;-0.000824862096943283 -0.000369871677816183;-0.000821533836670025 -0.00034157042699554],[0.000136981174874188 0;0.000136981174874188 0;0.000136981174874188 0]
1707,1,0,0,0,0,[-0.000817324139103432 -0.000359670606142239;-0.000817315167543433 -0.000369871677816183;-0.000813986907270175 -0.00034157042699554],[0.000136984058442576 0;0.000136984058442576 0;0.000136984058442576 0]
1777,1,0,0,0,0,[-0.000811172662659024 -0.000359670606142239;-0.000811163691099025 -0.000369871677816183;-0.000807835430825767 -0.00034157042699554],[0.000136985766460799 0;0.000136985766460799 0;0.000136985766460799 0]
1863,1,0,0,0,0,[-0.000803625562457352 -0.000359670606142239;-0.000803616590897353 -0.000369871677816183;-0.000800288330624095 -0.00034157042699554],[0.000136986778156102 0;0.000136986778156102 0;0.000136986778156102 0]
1938,1,0,0,0,0,[-0.000797473984843414 -0.000359670606142239;-0.000797465013283415 -0.000369871677816183;-0.000794136753010157 -0.00034157042699554],[0.000136987377400526 0;0.000136987377400526 0;0.000136987377400526 0]
2020,1,0,0,0,0,[-0.000789926824717299 -0.000359670606142239;-0.000789917853157301 -0.000369871677816183;-0.000786589592884042 -0.00034157042699554],[0.000136987732341805 0;0.000136987732341805 0;0.000136987732341805 0]
2099,1,0,0,0,0,[-0.000783775211609233 -0.000359670606142239;-0.000783766240049235 -0.000369871677816183;-0.000780437979775976 -0.00034157042699554],[0.000136987942578238 0;0.000136987942578238 0;0.000136987942578238 0]
2177,1,0,0,0,0,[-0.000776228030459475 -0.000359670606142239;-0.000776219058899477 -0.000369871677816183;-0.000772890798626219 -0.00034157042699554],[0.000136988067103891 0;0.000136988067103891 0;0.000136988067103891 0]
2269,1,0,0,0,0,[-0.000770076404898844 -0.000359670606142239;-0.000770067433338846 -0.000369871677816183;-0.000766739173065587 -0.00034157042699554],[0.000136988140861923 0;0.000136988140861923 0;0.000136988140861923 0]
2337,1,0,0,0,0,[-0.000762529216373283 -0.000359670606142239;-0.000762520244813285 -0.000369871677816183;-0.000759191984540026 -0.00034157042699554],[0.000136988184549663 0;0.000136988184549663 0;0.000136988184549663 0]
2426,1,0,0,0,0,[-0.000756377586443878 -0.000359670606142239;-0.000756368614883879 -0.000369871677816183;-0.000753040354610621 -0.00034157042699554],[0.000136988210426413 0;0.000136988210426413 0;0.000136988210426413 0]
2495,0,0,0,0,0,[-0.000748830395330642 -0.000359670606142239;-0.000748821423770643 -0.000369871677816183;-0.000745493163497385 -0.00034157042699554],[0.000136988225753506 0;0.000136988225753506 0;0.000136988225753506 0]
2575,0,0,0,0,0,[-0.000742678763868527 -0.000359670606142239;-0.000742669792308529 -0.000369871677816183;-0.00073934153203527 -0.00034157042699554],[0.000136988234831917 0;0.000136988234831917 0;0.000136988234831917 0]
2655,0,0,0,0,0,[-0.00073513157184745 -0.000359670606142239;-0.000735122600287452 -0.000369871677816183;-0.000731794340014193 -0.00034157042699554],[0.000136988240209162 0;0.000136988240209162 0;0.000136988240209162 0]
2743,0,0,0,0,0,[-0.000728979939847611 -0.000359670606142239;-0.000728970968287612 -0.000369871677816183;-0.000725642708014354 -0.00034157042699554],[0.000136988243394164 0;0.000136988243394164 0;0.000136988243394164 0]
2817,0,0,0,0,0,[-0.000721432747508034 -0.000359670606142239;-0.000721423775948035 -0.000369871677816183;-0.000718095515674777 -0.00034157042699554],[0.000136988245280677 0;0.000136988245280677 0;0.000136988245280677 0]
2895,0,0,0,0,0,[-0.000715281115319543 -0.000359670606142239;-0.000715272143759545 -0.000369871677816183;-0.000711943883486286 -0.00034157042699554],[0.00013698824639808 0;0.00013698824639808 0;0.00013698824639808 0]
2978,0,0,0,0,0,[-0.000707733922868226 -0.000359670606142239;-0.000707724951308227 -0.000369871677816183;-0.000704396691034969 -0.00034157042699554],[0.00013698824705993 0;0.00013698824705993 0;0.00013698824705993 0]
3055,0,0,0,0,0,[-0.00070158229061355 -0.000359670606142239;-0.000701573319053552 -0.000369871677816183;-0.000698245058780293 -0.00034157042699554],[0.000136988247451951 0;0.000136988247451951 0;0.000136988247451951 0]
3147,0,0,0,0,0,[-0.000694035098123031 -0.000359670606142239;-0.000694026126563032 -0.000369871677816183;-0.000690697866289774 -0.00034157042699554],[0.00013698824768415 0;0.00013698824768415 0;0.00013698824768415 0]
3216,0,0,0,0,0,[-0.000687883465845135 -0.000359670606142239;-0.000687874494285137 -0.000369871677816183;-0.000684546234011878 -0.00034157042699554],[0.000136988247821684 0;0.000136988247821684 0;0.000136988247821684 0]
3296,0,0,0,0,0,[-0.000680336273340862 -0.000359670606142239;-0.000680327301780864 -0.000369871677816183;-0.000676999041507605 -0.00034157042699554],[0.000136988247903147 0;0.000136988247903147 0;0.000136988247903147 0]
3377,0,0,0,0,0,[-0.00067418464105482 -0.000359670606142239;-0.000674175669494822 -0.000369871677816183;-0.000670847409221564 -0.00034157042699554],[0.000136988247951398 0;0.000136988247951398 0;0.000136988247951398 0]
3455,0,0,0,0,0,[-0.000666637448545722 -0.000359670606142239;-0.000666628476985724 -0.000369871677816183;-0.000663300216712466 -0.00034157042699554],[0.000136988247979978 0;0.000136988247979978 0;0.000136988247979978 0]
3535,0,0,0,0,0,[-0.000660485816256823 -0.000359670606142239;-0.000660476844696824 -0.000369871677816183;-0.000657148584423566 -0.00034157042699554],[0.000136988247996906 0;0.000136988247996906 0;0.000136988247996906 0]
3621,0,0,0,0,0,[-0.000652938623746032 -0.000359670606142239;-0.000652929652186033 -0.000369871677816183;-0.000649601391912775 -0.00034157042699554],[0.000136988248006933 0;0.000136988248006933 0;0.000136988248006933 0]
3696,0,0,0,0,0,[-0.000646786991456129 -0.000359670606142239;-0.000646778019896131 -0.000369871677816183;-0.000643449759622873 -0.00034157042699554],[0.000136988248012872 0;0.000136988248012872 0;0.000136988248012872 0]
