,MASS: 1.0134e-12 SIZE: 4.7551e-06,MASS: 1.1581e-12 SIZE: 4.9716e-06,MASS: 1.3029e-12 SIZE: 5.1706e-06,MASS: 1.4476e-12 SIZE: 5.3555e-06,MASS: 1.5924e-12 SIZE: 5.5283e-06,MASS: 1.7372e-12 SIZE: 5.691e-06,MASS: 1.8819e-12 SIZE: 5.8449e-06,MASS: 2.0267e-12 SIZE: 5.9911e-06,MASS: 2.1715e-12 SIZE: 6.1305e-06,MASS: 2.3162e-12 SIZE: 6.2638e-06,MASS: 2.461e-12 SIZE: 6.3917e-06
FORCE:0.45,2.91,2.765,2.85,2.855,2.735,2.745,2.81,2.735,2.73,2.75,2.755
FORCE:0.5,2.605,2.605,2.66,2.64,2.715,2.68,2.59,2.685,2.65,2.615,2.605
FORCE:0.75,2.11,2.21,2.23,2.21,2.17,2.15,2.19,2.125,2.18,2.13,2.235
FORCE:1,1.85,1.935,1.865,1.83,1.855,1.92,1.865,1.84,1.84,1.835,1.915
FORCE:1.5,1.495,1.495,1.6,1.52,1.55,1.52,1.56,1.51,1.53,1.5,1.57
FORCE:2,1.315,1.33,1.325,1.3,1.305,1.33,1.355,1.31,1.305,1.355,1.31
FORCE:2.25,1.25,1.3,1.255,1.225,1.26,1.22,1.22,1.225,1.23,1.235,1.22
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Velocity,,,,,,,,,,
FORCE:0.45,0.000089602,,,,,,,,,,
FORCE:0.5,9.45E-05,,,,,,,,,,
FORCE:0.75,0.00011568,,,,,,,,,,
FORCE:1,0.0001336,,,,,,,,,,
FORCE:1.5,0.00016361,,,,,,,,,,
FORCE:2,0.00018893,,,,,,,,,,
FORCE:2.25,0.00020036,,,,,,,,,,
