04-Jun-2024 11:43:16 --- from pythonNNContstructor import * --- 
04-Jun-2024 11:43:26 --- numStates=102 --- 
04-Jun-2024 11:43:26 --- numActions=2 --- 
04-Jun-2024 11:43:26 --- hiddenLayers=6 --- 
04-Jun-2024 11:43:26 --- model = NNClass(numStates,numActions,hiddenLayers) --- 
04-Jun-2024 11:43:26 --- model.model.summary() --- 
04-Jun-2024 11:43:26 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:29 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:30 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:31 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:32 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:33 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:34 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:35 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:36 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:37 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
04-Jun-2024 11:43:38 --- pred = model.model.predict(np.array([state]),verbose=0, batch_size=1) --- 
